List,Title,Description,Labels
To Do (Sprint),[P0][Infra] Crear tablero + listas + labels,Crear tablero AURITY Sprint 1 con listas y labels definidos; añadir miembros; fijar plantilla de card.,"SPR-202543,Infra,P0,tech-debt"
To Do (Sprint),[P0][Backend] Extraer ConversationCapture (symfarmia/dev),Aislar módulo en carpeta aurity/; compila en main; dependencias resueltas.,"SPR-202543,Backend,P0,feature"
To Do (Sprint),[P0][UI+Backend] Triage Intake (FI endpoints + whisper npm),Formulario mínimo (motivo+síntomas) conectado a FI-core; transcripción con paquete whisper npmjs; memoria efímera.,"SPR-202543,UI,P0,feature"
To Do (Sprint),[P0][Infra] Storage local sin PHI (buffers/manifest),No persistencia de PHI; hashing/manifest; .env.local ignorado.,"SPR-202543,Infra,P0,feature"
To Do (Sprint),[P0][Security] RBAC admin omnipotente,Stub de autenticación local; rol único admin; rutas protegidas.,"SPR-202543,Infra,P0,feature"
To Do (Sprint),[P0][Demo] Script de demo (3 casos V/A/R),Guion paso a paso; dataset sintético; comandos de ejecución.,"SPR-202543,Infra,P0,feature"
To Do (Sprint),[P0][Build] Build reproducible (Docker/Node 20) + tags v0.1.0,Dockerfile y npm scripts; Node 20 fijado; release tag v0.1.0; rama main.,"SPR-202543,Infra,P0,tech-debt"
To Do (Sprint),"[P0][Infra] Repo/Entorno listo (main, aurity/, .env.local)",Estructura aurity/; .env.local en .gitignore; hooks básicos.,"SPR-202543,Infra,P0,tech-debt"
To Do (Sprint),[P0][QA] Criterios de aceptación empaquetados,"Check de 3/3 casos, no PHI, build reproducible; (nota: 'offline' pendiente de decisión).","SPR-202543,Infra,P0,tech-debt"
To Prioritize,[P1][Export] Export evidencia demo (PDF/MD),Generar archivo local sin PHI con estados V/A/R y marcas de tiempo.,"SPR-202543,Infra,P1,feature"
To Prioritize,[Blocked][Infra] Acceso repo symfarmia,Permisos lectura/escritura rama main; confirmación de rama dev para extracción.,"SPR-202543,Infra,P0,tech-debt,Blocked"
To Prioritize,[Blocked][Infra] Trello API key/token,Compartir key/token para creación automática de tablero y labels.,"SPR-202543,Infra,P0,tech-debt,Blocked"
To Prioritize,[Blocked][Infra] Node 20 + Docker,Disponibilidad local de Node 20 y Docker para build reproducible.,"SPR-202543,Infra,P0,tech-debt,Blocked"
To Prioritize,[Optional][Infra] NAS local,"Si se define, configurar target local para artefactos no-PHI.","SPR-202543,Infra,P1,tech-debt"
